"Story","Title","Result","Date","Stability","Duration (s)"
"Inter Seguro","Cotizar seguro de viaje para adulto","SUCCESS","2025-03-15T11:26:16.9481722-05:00[America/Lima]","0.0","47.07"
"Inter Seguro","Cotizar seguro de viaje para adulto y niño","SUCCESS","2025-03-15T11:27:04.0283948-05:00[America/Lima]","0.0","18.89"
